"menu_name";"menu_descr";"menu_calories";"meal";"meal_starts_at";"item_name";"quantity";"serving_name";"calories";"protein";"fat";"carbohydrate";"sugars";"cholesterol";"fiber";"calcium";"sodium";"saturated_fat"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Breakfast";"07:00:00";"Organic Flaxseed Meal (Nature's Path)";"1.0000";"serving, 2 tablespoons (0.5 oz)";"70";"3";"5";"5";"0";"0";"4";"20";"5";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Breakfast";"07:00:00";"Blueberries, fresh";".5000";"cup (5.1 oz)";"41";"1";"0";"11";"7";"0";"2";"4";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Breakfast";"07:00:00";"Oats/oatmeal, cooked (all types)";"1.0000";"cup (8.3 oz)";"147";"6";"2";"25";"1";"0";"4";"19";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Lunch";"13:00:00";"Walnuts";"1.0000";"serving, 7 nuts (1.0 oz)";"183";"4";"18";"4";"1";"0";"2";"27";"1";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Lunch";"13:00:00";"Salad Dressing: Oil & Vinegar, Red Wine Vinaigrette (Wish-Bone)";"1.5000";"serving, 2 tablespoons (1.0 fl.oz)";"120";"0";"8";"14";"14";"0";"0";"0";"360";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Lunch";"13:00:00";"Salad: Fancy Field Greens (Fresh Express)";"1.0000";"serving, 3 cups (3.0 oz)";"20";"1";"0";"3";"1";"0";"2";"20";"15";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Lunch";"13:00:00";"Chicken Breast Strips, Grilled (Foster Farms)";"3.0000";"oz";"111";"19";"3";"2";"0";"46";"0";"0";"557";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Lunch";"13:00:00";"Raspberries, fresh";"1.0000";"serving,10 raspberries (0.7 oz)";"10";"0";"0";"2";"1";"0";"1";"5";"0";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Dinner";"19:00:00";"Green Beans, steamed/boiled";"1.0000";"serving, 1/2 cup (2.0 oz)";"18";"1";"0";"4";"1";"0";"2";"21";"3";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"1.0000";"serving (3.0 oz)";"175";"19";"10";"0";"0";"54";"0";"13";"52";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1000";"Dinner";"19:00:00";"Brown rice, long-grain, cooked";"1.0000";"serving, 1/2 cup (3.4 oz)";"108";"3";"1";"22";"0";"0";"2";"10";"5";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Breakfast";"07:00:00";"Skim Milk";"1.0000";"cup (8.6 oz)";"91";"9";"1";"12";"12";"5";"0";"316";"130";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Breakfast";"07:00:00";"Strawberries, fresh";".5000";"cup, sliced (5.9 oz)";"27";"1";"0";"6";"4";"0";"2";"13";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Breakfast";"07:00:00";"Whole Wheat Waffles, Nutri-Grain";"1.0000";"serving, 2 waffles (2.5 oz)";"180";"5";"6";"28";"3";"0";"3";"100";"420";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Breakfast";"07:00:00";"Maple Syrup";"1.0000";"tablespoon (0.7 oz)";"52";"0";"0";"13";"12";"0";"0";"13";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Grapes, Red or Green ";"1.0000";"cup, with seeds, yields (5.3 oz)";"104";"1";"0";"27";"23";"0";"1";"15";"3";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Mushrooms, white, raw";".5000";"serving, 1/2 cup, pieces (1.2 oz)";"4";"1";"0";"1";"0";"0";"0";"1";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Onions, all types, raw/cooked";".2500";"cup, chopped (5.6 oz)";"17";"0";"0";"4";"2";"0";"1";"9";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Bell Pepper, raw";".2500";"cup, chopped (5.3 oz)";"7";"0";"0";"2";"1";"0";"1";"4";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Ragu Pizza Sauce, Traditional";"1.0000";"serving (2.2 oz)";"40";"1";"2";"4";"3";"0";"1";"20";"380";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Bread Products: Dough, Pizza Dough, Whole Wheat (Trader Joe's)";"1.0000";"serving, 1/8 crust (2.0 oz)";"130";"4";"2";"24";"0";"0";"3";"20";"240";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Lunch";"13:00:00";"Mozzarella Cheese, part skim milk";"1.0000";"serving (1.0 oz)";"72";"7";"5";"1";"0";"18";"0";"222";"175";"3"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Dinner";"19:00:00";"Broccoli, cooked";"2.0000";"serving, 1/2 cup, chopped (2.8 oz)";"55";"4";"1";"11";"2";"0";"5";"62";"64";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Dinner";"19:00:00";"Brown rice, long-grain, cooked";"2.0000";"serving, 1/2 cup (3.4 oz)";"216";"5";"2";"45";"1";"0";"4";"20";"10";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Dinner";"19:00:00";"Olive oil";"2.0000";"teaspoon (0.2 oz)";"80";"0";"9";"0";"0";"0";"0";"0";"0";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1250";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"1.0000";"serving (3.0 oz)";"175";"19";"10";"0";"0";"54";"0";"13";"52";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Breakfast";"07:00:00";"Harvey's: Breakfast: Toast, Whole Wheat";"1.0000";"serving, 2 slices (2.5 oz)";"170";"7";"2";"32";"2";"0";"3";"40";"320";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Breakfast";"07:00:00";"Low-Fat Yogurt, Fruit Flavored";"1.0000";"container (6.0 oz)";"173";"7";"2";"32";"32";"7";"0";"258";"99";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Breakfast";"07:00:00";"Fruit Juices: Concord Grape Juice";"1.0000";"cup (8.0 fl.oz)";"130";"0";"0";"31";"31";"0";"0";"20";"35";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Breakfast";"07:00:00";"Peanut Butter, Creamy";".5000";"tablespoon (0.6 oz)";"53";"2";"4";"2";"0";"0";"1";"0";"30";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Summer squash/zucchini";"1.0000";"1 cup , sliced";"18";"1";"0";"4";"2";"0";"1";"17";"11";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Marinara/Spaghetti Sauce, Ready-to-Serve";"1.0000";"serving, 1/2 cup (4.4 oz)";"93";"2";"3";"14";"11";"0";"1";"34";"601";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Whole Wheat Pasta, cooked";"1.0000";"cup, elbow shaped (4.9 oz)";"174";"7";"1";"37";"1";"0";"4";"21";"4";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Parmesan Cheese, shredded";"2.0000";"tablespoon (0.2 oz)";"42";"4";"3";"0";"0";"7";"0";"125";"170";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Skim Milk";"1.0000";"cup (8.6 oz)";"91";"9";"1";"12";"12";"5";"0";"316";"130";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Strawberries, fresh";"1.0000";"cup, halves (5.4 oz)";"49";"1";"0";"12";"7";"0";"3";"24";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Asparagus, boiled, drained";"1.0000";"serving, 1/2 cup (3.2 oz)";"20";"2";"0";"4";"1";"0";"2";"21";"13";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Near East: Couscous: Toasted Pine Nut, prepared as directed";"1.0000";"cup";"230";"8";"6";"38";"2";"0";"2";"20";"510";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"1.0000";"serving (3.0 oz)";"175";"19";"10";"0";"0";"54";"0";"13";"52";"2"
